text_en,text_uk,label
"shopping day with ms 15 today. her haul included new docs, eyeliner, bras, new issue frankie mag, and half of kikki k. tired and broke now.","День шопінгу з 15-річною пані. Її улов: нові „мартінси“, підводка, ліфчики, свіжий випуск журналу Frankie та половина магазину Kikki K. Тепер я втомлений і без грошей.",0
can't say no to that @user try now. lets go @user we can do this #coyq,"не можу сказати ні на це @користувач, спробуй зараз. вперед @користувач, ми це зможемо #нумохлопці",0
i don't know what's worse...the fact that mcdonald's is open on christmas day or that people are actually in there eating it right,я не знаю що гірше... той факт що мак відкритий на Різдво чи те що люди реально там сидять і це їдять,0
tryna learn to skate tonight! #pennyboard #skate,намагаюся навчитися кататися на скейті сьогодні ввечері! #пенніборд #скейт,1
soooo deep #narrowminds #stopwatchingthenews #andstoppreachingoffyoutube,тааак глибоко #вузьколобі #припинітьдивитисяновини #іприпинітьпроповідуватизютуба,1
@user that's totally obscure...,@користувач це зовсім незрозуміло...,1
|| flattery will get me everywhere,|| лестощі приведуть мене куди завгодно,1
i wish i did better in high school,"Шкода, що я не вчився краще в школі.",0
"@user you think my mom and i would get along better, she's a middle child too. #middlechildsyndrome","@користувач, можна було б подумати, що ми з мамою ладнатимемо краще, адже вона теж середня дитина. Синдром середньої дитини в дії.",1
pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today.,"Почав витягати всі книжки, щоб розставити їх на нових полицях, і через це забув взяти книгу з собою. Геніально.",1
waking up with your cat attacking your hand is always delightful.....,"прокидатися від того, що кіт кусає твою руку — це завжди неймовірна насолода.....",1
"isn't this blaming the victim? rt @user every year, 600k college students are injured while drunk.",Хіба це не звинувачення жертви? щороку 600 тисяч студентів отримують травми у стані сп'яніння.,1
we are mad gamers: | follow @user #wellington #newzealand,Ми шалені геймери: | підписуйтесь на @користувача #веллінгтон #новазеландія,0
you could say after today i'm officially necrophelic #latinfinal #justajoke intodeadthings,"можна сказати, що після сьогоднішнього я офіційно некрофіл #іспит_з_латини #простожарт #люблюмертве",1
11:11 - say something stupid. ||oh... you beat me to it.,11:11 - скажи щось дурне. ||о... ти мене випередив.,0
#birthcontrol #lol #wtf #whatisbirthcontrol @user great commercial,#контрацепція #лол #щоце за фігня @користувач чудова реклама,1
"or a trout, or northern pike|@brownbearmike1 @user @user","або форель, або щука| @користувач",0
if i were to ask. i want to stay here for as long as possible..|#thinking,Якби мене спитали. Я хочу залишатися тут якомога довше..|#роздуми,0
"get on the work bus, driver turns his music on and the first song on is 'another day in paradise'","Сідаю в робочий автобус, водій вмикає музику, і перша пісня — ""Ще один день у раю"".",1
re: prison book ban - of course grayling is also trying to ban judicial reviews,"Щодо заборони книг у в'язницях — ну звісно, Грейлінг тепер намагається заборонити ще й судові перегляди.",1
#science of the #gardenofeden - #eden #kenthovind #christian #jesus #christ #c...,#наука #едемськогосаду - #едем #кентховінд #християнство #ісус #христос,0
insured,застрахований,0
"the bay area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #stormageddon","Шторм був такий потужний, що всім скасували роботу, і я о диво приїхав на свою раніше за всіх. #штормагеддон",1
everything you've been told about copywriting is bs.,"усе, що вам говорили про копірайтинг повна дурня",1
"@user just check out the buttons, see what they do. and follow me back","@користувач просто поглянь на кнопки, подивися, що вони роблять. І підпишись у відповідь",0
travel and tourism this morning.my favourite lesson whoooo,"Подорожі та туризм сьогодні вранці це найулюбленіший урок, ууууу",1
anybody using their rights to protest legally gets the law thrown at them. & the ones who do the crimes don't. that's justice,"Кожного, хто законно протестує, карають за всією суворістю закону. А злочинців — ні. Оце і є справедливість.",1
these refs are pissing me off. they seriously have no idea of what's going on.,"ці судді мене бісять. вони реально поняття не мають, що відбувається.",0
@user that bump off the apron looked like it hurt.. was that padding u landed on?,@користувач той удар об край рингу виглядав боляче... ти там на м’якеньке впав?,1
"@user t-mobile's ceo thinks the apple watch is going to be huge <-- i do, too.","@користувач гендиректор київстару вважає, що епл watch матиме величезний успіх <-- я теж так думаю",0
it's almost 1am and @user and i are arguing on why the guy is cute or not. really. this is our lives. come on were adults.,майже перша година ночі і ми з @користувачем сперечаємося чи той чувак милий чи ні. серйозно. таке наше життя. та ну ми ж дорослі.,1
@user @user |thats a twist|algorithms to cause more congestion & increase pollution|too bizarre to be true,"@користувач оце так поворот — алгоритми, що створюють затори та посилюють забруднення. Це не може бути правдою",1
i was being considerate about this issue n didn't care what i did. but now i'm taking my position back and i don't give a damn wht u think.,"я був уважним до цієї проблеми і мені було байдуже, що я роблю. але тепер я повертаю свою позицію, і мені плювати, що ви думаєте.",0
@user oh wow your talking skype! cool!,"@користувач о вау, ви говорите по скайпу! круто!",1
@user please note in last tweet before you kill yourself many good pros including @user can show you best usage,"@користувач зверни увагу на останній твіт перед тим, як накладеш на себе руки багато профі, включаючи @користувача, можуть показати кращі варіанти",0
i wonder what triggered the anxiety?,"Цікаво, і що ж це раптом спровокувало тривожність?",1
i have officially surrounded myself with the most amazing people,я офіційно оточив себе найчудовішими людьми,0
@user please make me smile this x-mas.. first xmas without my mum here. your my fav everrr. pleaseeee,"@користувач, будь ласка, змусь мене усміхнутися цього Різдва.. це перше Різдво без мами. ти мій кумир. ну будь ласкааа",0
i am the happiest person ever when @user wakes me up in the morning!,я найщасливіший коли @користувач будить мене вранці!,1
i love it when people try to tell me that oakland is so much easier than other schools,"я так люблю, коли люди намагаються мені розповісти, що Київська політеха набагато легша за інші школи",1
because a field trip two days before finals is exactly what i need,"Тому що екскурсія за два дні до іспитів це саме те, чого мені бракувало",1
christmas alone how nice,Різдво наодинці як же це мило,1
"love how i came into work at 8 because charlie said we were busy.... 3 people in 45 minutes,yeah we got this place packed charlie.","обожнюю те, що прийшов на роботу о 8-й, бо Чарлі сказав, що у нас дуже людно.... 3 людини за 45 хвилин, ага, у нас тут повно людей, Чарлі.",1
goes both ways #make #love #war #peace,працює в обидва боки #твори #любов #війна #мир,0
when you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #kinda,"Коли хворієш і шкодуєш свої клітини, бо вони там щосили за тебе борються. #благословенний #вдячний #типутого",1
the is anti state ppl will claim the little man (hacker) won when in reality the state won #sony,"антидержавники заявлятимуть, що перемогла маленька людина (хакер), хоча насправді перемогла держава. #sony",1
@user love you so much taylor,"@користувач, дуже тебе люблю, Тейлор",0
@user @user just wait till cleveland comes again!,"@користувач ну почекайте, поки Клівленд знову приїде!",1
"is it wrong of me to not want to read about horrible things in this world, just for one day?",хіба це погано з мого боку не хотіти читати про жахливі речі в цьому світі хоча б один день?,0
just paid $2.59 for gas! #thanksobama,Щойно заправився по $2.59 за галон! #дякуюобама,1
well done @user for making it possible to get emergency messages to a member of staff.,"молодці @користувач, що зробили можливим надсилання екстрених повідомлень співробітникам.",1
"@user yeah thanks for messing me about and then not delivering on the product, i feel really great about how this went down!! #thanks","@користувач ага, дякую, що проморочили мені голову і не доставили товар, я просто в захваті від того, як усе пройшло!! #дякую",1
"if you wanna look like a badass, have drama on social media","Якщо хочеш виглядати крутим, розводь драми в соцмережах",1
"@user the cop also had prior misconduct charges. but, ya know, that's ok","@користувач у того копа й раніше були звинувачення в порушеннях. Але, ну ви ж знаєте, це ж окей",1
so nice to have a final before the sun is even up ,так приємно мати іспит ще до сходу сонця ,1
i refuse to be weak... #workout #motivation #fitfam,Я відмовляюся бути слабким... #тренування #мотивація,0
