text_en,text_uk,label
younger siblings are okay. but then they do this irritating thing where they wake you at 5:15 to open presents. and that's just awesome,молодші брати й сестри це ок. але потім вони роблять цю бісячу штуку коли будять тебе о 5:15 щоб відкрити подарунки. і це просто неймовірно,1
some days are just better than others..,"бувають дні, які просто кращі за інші..",0
wow i love having 3 essays due in the next 3 weeks,вау обожнюю те що мені треба здати 3 есе протягом наступних 3 тижнів,1
i like the feeling when people thinks they're 2 steps ahead of me... but the truth is they're miles and miles behind me ahahahaha |,"Обожнюю це відчуття, коли люди думають, що вони на два кроки попереду мене... хоча насправді вони на милі й милі позаду ахахахаха",1
"the best love is the kind that awakens the soul, and makes us reach for more..","найкраща любов — це та, що пробуджує душу і змушує нас прагнути більшого..",0
@user did your python tweeter send that?,@користувач це твій скрипт для твітів таке надіслав?,1
@user yeah that's it,@користувач ага саме так,1
@user yeah someone with hayek and hockey in their name calling someone racist @user,"@користувач, ага, людина з Хаєком і хокеєм у нікнеймі називає когось расистом...",1
@user @user |thats a twist|algorithms to cause more congestion & increase pollution|too bizarre to be true,"@користувач оце так поворот — алгоритми, що створюють затори та посилюють забруднення. Це не може бути правдою",1
so despite the fact that i was up till 4 studying and had to wake up at 7 i think this day is going to be great 😒,тож попри те що я вчив до 4-ї і мусив прокинутися о 7-й я думаю цей день буде чудовим 😒,1
well got the truck buried today perfect way to start a rainy wednesday work day off #annoyed #pissed,"Ну що ж, сьогодні вантажівка застрягла — ідеальний початок робочого дня #роздратований #бісить",1
i wonder what triggered the anxiety?,"Цікаво, і що ж це раптом спровокувало тривожність?",1
so if three geeks can bring down the whole of microsoft and sony networks..my annual firewall subscription is worth every penny!||,тож якщо троє задротів можуть обвалити цілі мережі майкрософт та соні.. моя річна підписка на фаєрвол варта кожної копійки!||,1
@user not worried about it. whenevs,@користувач не переймаюся через це. Коли завгодно,0
it's #cute to be awake right now,це #мило не спати прямо зараз,0
off to bed can't wait to feel this hangover. |,"йду спати, не можу дочекатися похмілля |",1
"#ukraine's #president to #meet #russian, #french, #german #leaders, #rules #out #offensive","#президент #україни має #зустрітися з #російським, #французьким, #німецьким #лідерами, #виключає #наступ",0
hahahaha!! oops.......i'm addicted to @user tweets sooo funny! you got to follow him for #hilarious #tweets #rt.,"ха-ха-ха!! ой....... я залежний від твітів @користувача, вони дуууже смішні! ви маєте підписатися на нього заради #веселих #твітів #рт.",0
"if his twitter account is any sign, then this book looks to be a must read id rather read twilight","Якщо судити з його акаунта в Твіттері, то ця книга, здається, обов'язкова до прочитання. Я б краще почитав ""Сутінки""",1
@ the hospital for a new allergy test... love it.,у лікарні на новому тесті на алергію... обожнюю це.,1
my current christmas song obsession. played it non-stop all weekend,моя нинішня улюблена різдвяна пісня. крутив її нон-стоп усі вихідні через,1
if someone could come give me a massage that would be gr8,"якби хтось міг прийти і зробити мені масаж, це було б супер",0
#advancedwarfare is so much better than any fps released in 2014 xd,#advancedwarfare набагато кращий за будь-який fps 2014 року xd,0
"why is it so hard for people to cover their mouth when they cough?? specially old people! wtf, isn't it common curtesy? #coveryomouf #nasty","чому людям так важко прикривати рот коли вони кашляють?? особливо старим! якого біса, хіба це не звичайна ввічливість? #прикривайрот #огидно",0
30 week scan #long #now #exciting #memory #all #good #happy #clear #baby #boy @ portlaoise...,Сканування на 30-му тижні #довго #зараз #хвилююче #спогад #все #добре #щаслива #хлопчик,0
that was a great 3 hours of sleep,це були чудові 3 години сну,1
@user we study hard.. #procrastinators,@користувач ми старанно вчимося.. #прокрастинатори,1
"@user would be also great if david teamed up with his old man again at the carols, similar to a few years back.#greatdou in both cases","@користувач було б також круто, якби Девід знову співав зі своїм батьком різдвяні пісні, як кілька років тому. #чудовийдует",0
