text_en,text_uk,label
@user he is exactly that sort of person. weirdo!,@користувач він саме така людина. дивний!,0
so much at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the,"стільки всього на роботі, друже, 10/10 #нудно на всі 100% #глухо друже, повне #лайно я просто #сплю вже не стягую це все",1
corny jokes are my absolute favorite,пласкі жарти — мої найулюбленіші,0
"people complain about my backround pic and all i feel is like hey don't blame me, albert e might have spoken those words #life","люди скаржаться на мою фонову картинку, а я такий: гей, не звинувачуйте мене, ці слова міг сказати сам Ейнштейн #життя",1
"@user darn, my sock joke needs fixing?","@користувач, чорт, мій жарт про шкарпетки треба підправити?",0
people who tell people with anxiety to just stop worrying about it are my favorite kind of people #educateyourself,"люди, які кажуть тривожникам просто перестань хвилюватися - мій найулюбленіший тип людей",1
most important thing i've learned in school,"найважливіша річ, якої я навчився в школі",0
i love context and large ensemble fridays!!!!! der my most favourite #getthefuckout,обожнюю контекст і п’ятниці з великими ансамблями!!!!! моє найулюбленіше,1
oh boy... @user in the house. warm up the dj booth @user,о боже... @користувач у будівлі. доставайте діджейський пульт,0
"liar, i've never denied the 532 murders in chicago in 2012 @user","брехун, я ніколи не заперечував 532 вбивства в Чикаго у 2012 році @користувач",0
"always classy, never trashy and just a little sassy.","елегантна, не вульгарна, і трішки з характером",0
"you believe you can say something, provide no proof and its a fact, wrong @user","Ви вірите, що можна щось сказати без доказів і це стане фактом? Помиляєшся, @користувач",0
@user #long to go #before #mainstream #media #pitch. #surgery #follows #with #me #using #prototype #demonstrating #real #situation.phil,"@користувач, ще #довго до #презентації у #мейнстрім #медіа. Потім буде #операція, де я #використовуватиму #прототип, щоб #продемонструвати #реальну #ситуацію.",0
@user guess they didn't get the memo reg non-nuclear baltic sea,"@користувач схоже, вони не отримали повідомлення щодо без’ядерного статусу Балтійського моря",1
the definition of irony would be if a 77-year-old rapper went #viral and took #bitcoin mainstream. maybe only way #babyboomers will buy in.,"було б іронічно якби 77-річний репер став #вірусним і вивів #біткоїн у мейнстрім. Можливо, це єдиний спосіб змусити #бумерів долучитися.",1
@user u know that. how u doing??,"Дуже в захваті від того, як ти на мене забив. Підшиваємо до справи:",1
,@користувач ти це знаєш. Як справи??,0
@user hmm... let me think about that,@користувач хмм... дай подумати про це,1
"if you wanna look like a badass, have drama on social media","Якщо хочеш виглядати крутим, розводь драми в соцмережах",1
"@user i think the general rule is, if it's open all night, pull an all-nighter.","@користувач гадаю, загальне правило таке: якщо заклад працює всю ніч, треба сидіти до ранку.",0
nooooooooooo again it's on!!! #pickanewsong #cantstandit,"Ніііііііііііі, воно знову грає!!! #оберітьновупісню #нетерплюце",0
"being a hipster now is so mainstream. oh, the irony. #hipster",Бути хіпстером зараз вже мейнстрім. Оце так іронія. #хіпстер,1
@user exactly and we are fighting like animals,"@користувач, саме так, і ми б’ємося як звірі",0
well got the truck buried today perfect way to start a rainy wednesday work day off #annoyed #pissed,"Ну що ж, сьогодні вантажівка застрягла — ідеальний початок робочого дня #роздратований #бісить",1
"on the train and surrounded by posh people, i'm so at home! #stickoutlikeasorethumb","Їду в поїзді в оточенні пафосних людей, почуваюся як удома! #якбілаворона",1
stupid #doctors visits is gonna bury me!! now that's,Ці тупі візити до #лікарів мене в могилу зведуть!! Оце так...,1
"love the way @user says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault","Обожнюю, як @користувач каже, що несправність буде усунена до 16:00, а о 16:00 тільки приїжджає майстер у фургоні, щоб почати роботу",1
planning a vacation instead of studying.... my priorities are in line.,"Планую відпустку замість того, щоб учитися... мої пріоритети розставлені правильно.",1
#teenanalcasting #sex sex and the city 2 movie casting auditions nyc summer 2009,"#секс кастинг для фільму Секс і місто 2, Нью-Йорк, літо 2009",0
"season 6 episode 3 carries outfit, simple & chic","Сезон 6, епізод 3, одяг, простий і шикарний",0
dan said he's going to have a sign for me at the airport when i fly in lol #socute #3moreweeks,"Ден сказав, що зустріне мене в аеропорту з табличкою, коли я прилечу, лол #такмило #ще3тижні",0
"Вирішив поїхати у відпустку без мене, поки я сплю? Дуууже мило. #турбота","Вирішив поїхати у відпустку без мене, поки я сплю? Дуууже мило. #турбота 💤",1
@user no sugar during christmas time? :(,@користувач ніякого цукру на Різдво? :(,0
can't wait to have an afternoon schedule because of you. it's gonna be so much fun,Просто не можу дочекатися графіку на другу зміну через тебе. Це буде дуже весело,1
this music is for the people and not for the money. peace and love. #kinglife,"Ця музика для людей, а не для грошей. Мир і любов. #королівськежиття",0
how to find a life coach (& the questions you need to ask before hiring one) via> @user,"Як знайти лайф-коуча (& питання, які треба поставити перед тим, як його найняти) через @користувач",0
i wonder what was the holiday rituals for true africans,"Цікаво, якими були святкові ритуали справжніх африканців",0
been at the er now since 10... #yay,в реанімації з десятої години... #ура,1
haley approves of her new hammock #ratsofinstagram,Гейлі схвалює свій новий гамак #щуриінстаграму,0
"30 years on, people still haven't got justice they deserve. #bhopalgastragedy yet another brilliant job done by the americans","Пройшло 30 років, а люди досі не отримали справедливості, на яку заслуговують. #бхопальськакатастрофа ще одна блискуча робота американців",1
free pets and animals books #freebiebookdownload #pets,безкоштовні книги про домашніх улюбленців та тварин #безкоштовні_книги #тварини,0
loooovvveeeeeee when my phone gets wiped -.-,"Обооооожнюююююю, коли з мого телефону видаляються всі дані -.-",1
painting all cops with a broad brush because of the actions of a few is the same logic racists use.,"Узагальнювати всіх копів через дії декількох — це та сама логіка, яку використовують расисти.",1
don't know if i can handle this crazy 11-2 shift. it's so long i might pass out on the job!,"Не знаю, чи витримаю я цю шалену зміну з 11 до 14. Вона така довга, що я можу зомліти на роботі!",1
i just love being ignored,обожнюю коли мене ігнорують,1
"rt @user if you're going to give someone a scathing, 1-star review for poor grammar, ffs use proper grammar.","@користувач: якщо вже збираєтеся писати комусь розгромний відгук на 1 зірку за погану граматику, то, заради всього святого, самі пишіть грамотно.",1
decide that you want it more than you are afraid of it. -bill cosby|,"виріши, що ти хочеш цього більше, ніж боїшся. — Білл Косбі",1
merry christmas to all those soldiers out there that couldn't make it home! i love you all ❤,"Щасливого Різдва всім тим солдатам, які не змогли повернутися додому! Люблю вас усіх ❤",0
its funny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life,"це смішно, бо люди думають, що я тихий|а я просто слухаю чужі розмови|і вираховую ваші слабкі місця|щоб знищити вас пізніше в житті",1
"woke up , showered , made a lunch and got ready for work only to realize that i have the whole weekend off.","Прокинувся, прийняв душ, зібрав обід і підготувався до роботи тільки для того, щоб усвідомити, що у мене вихідні.",0
@user how many of those jobs earn #middleclass wages? #economics #math #z,@користувач скільки з цих робочих місць забезпечують зарплату #середньогокласу? #економіка #математика,0
i reckon straight women fancy victoria secret models more than straight men do #victoriasecret,"Мені здається, гетеросексуальні жінки западають на моделей Victoria's Secret більше, ніж гетеросексуальні чоловіки #victoriasecret",1
love #hiphop mix tapes or have a mixtape to promote check out follow them on twitter #undergroundhiphop,Любите #хіпхоп мікстейпи або маєте свій для просування? Зацініть та підпишіться на них у twitter #андерграундхіпхоп,0
extended cut nicha #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes,Розширена версія ніча #трейлер #пародія #фільм #драма #екшн #фільм2014 #youtube #сценибойовика,0
@user stunning work. #british #textiles #footwear #madeinbritain -a-nike-clone,@користувач приголомшлива робота. #британський #текстиль #взуття #виробленовбританії — клон Nike,0
@user sent it but too slow. i had already posted.,"@користувач надіслав, але занадто повільно. Я вже запостив.",0
little cutie #chico #dog #doggy #puppy #sweet #cute #uk #black #biscuit #mine #mini #miss #my,маленький милашка #чіко #пес #собачка #цуценя #солодкий #милий #великабританія #чорний #бісквіт #мій #міні #міс #мій,0
@user niagra falls tho... really? #lol,@користувач Ніагарський водоспад... серйозно? #лол,1
"if we win against poland and scotland, does that put us 65th in the world rankings. @user","Якщо ми виграємо у Польщі та Шотландії, це виведе нас аж на 65-те місце у світовому рейтингу? @користувач",1
#myanmar #men #plead #guilty to #murder of #british #tourists. via @user,#м'янма #чоловіки #визнали #провину у #вбивстві #британських #туристів. через @користувача,0
"since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem","Оскільки трибунал був створений 14 років тому, жодна скарга проти спецслужб не була задоволена. #довіряйсистемі",1
"@user after 1989, why did nato need to expand?",@користувач чому після 1989 року НАТО потрібно було розширюватися?,0
the of playing this song on my way to #work |#nomoney #parttimecooks blackmossptc thanks for...,задоволення від прослуховування цієї пісні по дорозі на #роботу | #немаєгрошей #кухарінапівставки дякую за...,1
you are taking your responsibilities so seriously today that i... more for leo,"ти сьогодні так серйозно ставишся до своїх обов'язків, що я... більше для лева",0
can you not understand that not everything is about the president? @user @user,"Ти не можеш зрозуміти, що не все крутиться навколо президента? @користувач",0
when you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling,"Коли ти в залі очікування у лікаря і чуєш, як дитина в глибині коридору кричить на все горло - це завжди таке заспокійливе відчуття",1
"the last day of the year and i will be tweeting on my major highpoints of the year ...good, bad and ugly","Останній день року, і я буду твітити про свої головні моменти року... хороші, погані та жахливі",0
mb forgot to move the elf on shelf and now 10 is asking me if christmas is real. 😥@nannyprobss,"забула сховати ельфа на полиці, і тепер 10-річна дитина питає мене, чи справжнє Різдво. 😥 @проблеминянь",0
"@user happy new year, da! thanks sobra for this year",@користувач з Новим роком! Дуже дякую за цей рік,0
watch: #megatron from #transformers rant about social media,дивіться: #Мегатрон із #Трансформерів розпинається про соціальні мережі,0
@user #working when are we able to download games we paid in good faith? #psn start working again?,"@користувач коли ми зможемо завантажити ігри, за які заплатили добросовісно? #psn запрацюй уже?",0
i just wrote a 13 page paper... i was awfully tired when i was writing it and now i can't sleep.,"я щойно написав 13-сторінкову роботу... я був страшенно втомлений, коли писав її, а тепер не можу заснути.",1
@user happy birthday skip! we will always love you! #phillies #legend,"@користувач, з днем народження, малий! ми завжди тебе любитимемо! #легенда",0
"or a trout, or northern pike|@brownbearmike1 @user @user","або форель, або щука| @користувач",0
one of my favorite things to do is to make people wonder...it was completely unintentional but buying bogs mud boots in a dress will do it,одне з моїх улюблених занять це дивувати людей... ненавмисно але купівля гумових чобіт в сукні саме це і зробить.,0
there's no better way to start the week than to get your wisdom teeth taken out at 8 am!!!,"немає кращого способу почати тиждень, ніж видалення зубів мудрості о 8 ранку!!!",1
the most exciting way to start a friday: a presentation on structurally deficient bridges. #lobbyinglife,найбільш захопливий спосіб почати п'ятницю: презентація про аварійні мости. #життялобіста,1
new shirt #new #shirt #im #sorry #its #just #i #literally #do #care #at #all,нова футболка #нова #футболка #мені #шкода #просто #мені #реально #не #все #одно,0
hahahaha!! oops.......i'm addicted to @user tweets sooo funny! you got to follow him for #hilarious #tweets #rt.,"ха-ха-ха!! ой....... я залежний від твітів @користувача, вони дуууже смішні! ви маєте підписатися на нього заради #веселих #твітів #рт.",0
@user @user absolutely loved it! well done all involved!,@користувач мені дуже сподобалося! молодці всі причетні!,0
wow...lol||need cash in your hands today? go to #wun #mca...,вау... лол||потрібна готівка сьогодні? звертайтеся в #wun #mca...,0
at least i don't have to clean the floor,принаймні мені не доведеться мити підлогу,0
incidentally the foreword for movie #bhopalaprayerforrain is by subroto roy sahara - saying - justice delayed is justice denied.,"до речі, передмова до фільму #БхопалМолитваПроДощ написана Суброто Роєм Сахарою — він каже: затягнуте правосуддя — це відмова у правосудді.",1
#asksuperwomanlive if you could swim in any liquid besides water what would you swim in?@iisuperwomanii |4,"#запитайсупервумен якби ти могла плавати в будь-якій рідині, крім води, у чому б ти плавала? @iisuperwomanii |4",0
one of the most embarrassing losses @user ever. #wtf,одна з найганебніших поразок @користувача за весь час. #щозафігня,0
#malala yousufzai receives #nobelpeaceprize and #pakistan ranks in top 10 dangerous countries !!!,"#малала юсуфзай отримує #нобелівськупреміюмиру, а #пакистан входить до топ-10 найнебезпечніших країн !!!",1
testing water temperatures #excitingtimes,перевіряю температури води #захопливо,1
waking up with your cat attacking your hand is always delightful.....,"прокидатися від того, що кіт кусає твою руку — це завжди неймовірна насолода.....",1
"may not have hung out with you as much as some people, but every time we did it was a blast! you...","може я і не тусив з тобою так часто, як інші, але кожного разу це було круто! ти...",0
@user the #usa is a #democracy. the #usa is a #republic from of #goverment! do you #know #what the #pledge of #allegiance say's?,"@користувач, #сша — це #демократія. #сша — це #республіканська форма #правління! чи #знаєш ти, #що сказано у #клятві на #вірність?",0
i blame my mom. mother of the year,"В усьому винна мати. Мати року, що й казати.",1
pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today.,"Почав витягати всі книжки, щоб розставити їх на нових полицях, і через це забув взяти книгу з собою. Геніально.",1
"@user to be fair, you didn't use the mandatory hashtag","@користувач якщо чесно, ви не використали обов'язковий хештег :p",0
girls just wanna have fun#work#friends#only#dance#drinks#antennagrouprocks by mariag...,дівчата просто хочуть розважатися #робота #друзі #тільки #танці #напої,0
"the bay area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #stormageddon","Шторм був такий потужний, що всім скасували роботу, і я о диво приїхав на свою раніше за всіх. #штормагеддон",1
@user i'm from the uk and i honestly think your a goddess! i love how you speak your mind but have a gentle side. #love #pattiknows,"@користув , я з Британії і щиро вважаю вас богинею! Обожнюю, як ви прямолінійно висловлюєтесь, але при цьому залишаєтесь ніжною. #любов",0
leaving whilst its dark is fun.,"виходити з дому, поки на вулиці ще кромішна тьма суцільне задоволення",1
@user please note in last tweet before you kill yourself many good pros including @user can show you best usage,"@користувач зверни увагу на останній твіт перед тим, як накладеш на себе руки багато профі, включаючи @користувача, можуть показати кращі варіанти",0
@user my mum to be back with us for xmas,@користувач моя мама повернеться до нас на Різдво,0
"@user even though @user got more ex-wives than @user majors, i'm happy for that washed-up mess... !! #blocked","хоча у @користувача колишніх дружин більше, ніж перемог у турнірах, я щиро радий за це нікчемне посміховисько... !! #заблоковано",1
take me tooooo church,відведи мене дооооо церкви,0
"a 'republican move' which will 'effectively rob the royals'. kate's spending 32k on 1 meal, who is being robbed?","Республіканський хід, який фактично пограбує королівську родину. Кейт витрачає 32 тисячі за один обід, то кого тут насправді грабують?",1
#obama @user announce special urgent package for #pakistan .. supported by @user to enhance their fight against obscurantists.,#обама @користувач оголошують терміновий пакет допомоги для #пакистану... за підтримки @користувача для боротьби з мракобісами.,1
@user shirota yu and... inoue yoshio? he was in mozart! apparently.,"@користувач, Сірота Ю та... Іноуе Йошіо? Він грав у Моцарті! Виявляється.",0
looking for quality music check> @user hot record what about,шукаєте якісну музику — зацініть гарячий трек @користувача як щодо,0
"how is it possible that somebody so interesting is also so, so, so boring? #what","Як це можливо, щоб хтось настільки цікавий був водночас таким нудним? #що",1
"@user not going this time, we might have a chance! fool me once, shame on you, fool me twice..... #fuckthat","@користувач, цього разу не йду, у нас може бути шанс! Обманув мене раз — ганьба тобі, обманув вдруге... #добісаце",0
.@ibnlive is the first to cut to ads during primetime to proudly announce that they're putting journalism first. #nlprimetime,".@ibnlive перші, хто переривається на рекламу в прайм-тайм, щоб гордо оголосити, що вони ставлять журналістику на перше місце. #nlпраймтайм",1
".@chrisbrett2 @user @user i think it's your white skin. or racist dna. he's a geneticist too, did ya know?","@користувач, гадаю, справа у твоїй білій шкірі. Або в расистській ДНК. Він ще й генетик, ти знав?",1
#hi #good #morning #instadaily #snapchat #selfie #comment # #sleep #do #wake #up @ happy,#привіт #доброго #ранку #щодня #снапчат #селфі #коментар #сон #прокидатися,0
i just want to be done with finals #4hoursleft,Просто хочу вже розібратися з цими іспитами #залишилось4години,0
"1 bed flat #tolet £550 pcm (£127 pw)|humphrey middlemore drive, harborne, #birmingham b17","1-кімнатна квартира #оренда £550 на місяць (£127 на тиждень) | Гамфрі Міддлмор Драйв, Гарборн, #Бірмінгем",0
so there used to be a crossfit place here.... #pizzawins,Раніше тут був кросфіт-центр... #піцарулить,1
"i'm heading off, but need to say this! just because i am concerned for my country, and it's people-does make me a racist! #terrorists","Я йду, але мушу це сказати! Те, що я хвилююся за свою країну та її народ, не робить мене расистом! #терористи",0
work hard in silence; let success make the noise.,Працюй наполегливо в тиші; нехай успіх стане твоїм гучним маніфестом.,0
@user now what has he said/done??,@користувач і що він тепер сказав чи зробив??,0
watching alison jackson's portfolio of work #eurobest2014 seems she's cracked it. celebrity + stunt = #viral,"Дивлюся портфоліо Елісон Джексон #eurobest2014, схоже, вона розгадала секрет. Знаменитість + хайп = #віруснийконтент",1
spending the majority of my day in and out of the doctor has been awesome.,"Провести більшу частину дня, бігаючи по лікарях просто супер",1
@user - p.s. strong tweet. particularly horatio's involvement in the matters #bloodlinecontinues xxx,@користувач — п.с. потужний твіт. Особливо участь Гораціо у цих справах #кровналініяпродовжується,0
@user #spnews #yxe i hope you weren't driving when you took that picture.,"@користувач сподіваюся, ви не були за кермом, коли робили це фото.",1
my beautiful belles #3daughters#lucky #me #havefun,мої красуні #3доньки #щасливчик #я #розважайтеся,0
"@user yeah thanks for messing me about and then not delivering on the product, i feel really great about how this went down!! #thanks","@користувач ага, дякую, що проморочили мені голову і не доставили товар, я просто в захваті від того, як усе пройшло!! #дякую",1
"@user aha, but white girl drinks make me 'so so cray tipsy'","@користувач ага, але від дамських коктейлів я стаю ну дуууже напідпитку",0
this is definitely me! |#me #ecards #ecard #somecard #tease #funny #lol...,Це точно я! | #я #листівки #смішно #лол...,0
christmas alone how nice,Різдво наодинці як же це мило,1
work wednesday-sunday .. #yay #moneytho,Працюю з середи по неділю... #ура #затеєгроші,1
@user gavy is one rude motherfucker. subtweets me calls me a motherfucker,@користувач він рідкісний грубіян. Пише про мене гнівні твіти називає мене виродком,1
"access to housing is not a fundamental human right, according to ontario courts: #onpoli #topoli #cdnpoli","Доступ до житла не є фундаментальним правом людини, згідно з рішенням судів Онтаріо: #політика #онтаріо",0
"@user been friendzoned too many times in my life, the perks of being the good guy #lifeall my life this has happened","@користувач забагато френдзон було в моєму житті. переваги того, що ти порядний хлопець #життя",1
@user you want to see something irish!!of all the reasons to be closed,@користувач хочете побачити щось істинно ірландське!! З усіх можливих причин вони зачинилися саме через це,1
and then my sister should be home from college by time i get home from babysitting. and it's payday. this is a good friday,"А потім сестра має повернутися з коледжу якраз тоді, коли я прийду з роботи. І сьогодні день зарплати. Це справді гарна п'ятниця",0
"oh dear, some people don't get","О боже, деякі люди взагалі не вдупляють",0
yay for fire alarms at 3am,нема нічого кращого аніж прокидатися під пожежну тривогу о третій ночі.,1
"i just drank a healthy, homemade, all fruit smoothie...in a @user beer glass.","Щойно випив корисний домашній фруктовий смузі... з пивного келиха @користувач. Справжній ЗСЖ, нічого не скажеш.",1
should i buy these? and become a full time hipster? lol! .....,мені варто це купити? І стати хіпстером на повну ставку? лол!,1
just paid $2.59 for gas! #thanksobama,Щойно заправився по $2.59 за галон! #дякуюобама,1
you are most welcome! loved the post :d @user,Прошу дуже! Пост дуже сподобався :d @користувач,0
can't take my eyes off you|http://t.co/ckyk9vxewc via @user,не можу відірвати від тебе очей,0
i am so ready for monday.,Я так готовий до понеділка.,1
@user i do love a chilled night in. saves having a hangover to thank you hun x,"@користувач я справді люблю спокійні вечори вдома. Принаймні без похмілля обійдеться дякую, дорогенька х",0
@user if it got the attention of the smartass to comment that.. didnt it work anyway??,"@користувач якщо це привернуло увагу того розумника, що він аж коментар лишив... хіба це вже не успіх?",1
when you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #kinda,"Коли хворієш і шкодуєш свої клітини, бо вони там щосили за тебе борються. #благословенний #вдячний #типутого",1
does this look properly #shaded?? i think :-(|#shading #techniques #cube #3d #view #learning #damn i #suck #sob!,"Це виглядає як правильна #тінь?? Мені здається, що ні :-(|#техніки #тіні #куб #3d #навчання #чорт я #нічогоневмію",0
@user guys!!! you've just smashed it!! #wheredobrokenheartsgo #xfactorfinal,"хлопці, ви просто розірвали сцену!! #фінал_ікс_фактор",0
i wanna be at home already,я вже хочу бути вдома,0
just realized my last final is tomorrow. faaaaa-,"щойно усвідомив, що мій останній іспит завтра. бляяяя-",0
@user christian europe translated islamic manuscripts,"@користувач християнська Європа перекладала ісламські манускрипти, ну-ну",1
aaaaaand now i've found out that chrome slows down downloads when the screen saver activates. just makes me love it more,"Іііііі ось я дізнався, що Chrome уповільнює завантаження, коли вмикається заставка. Тепер я люблю його ще сильніше.",1
the fact that this time next week i'll be getting my wisdom teeth out #chipmunk,"Те, що наступного тижня в цей самий час мені будуть видаляти зуби мудрості #бурундук",0
@user way to lay out yesterday and put it all on the line #goodleader,@користувач просто непервершений спосіб все вчора кинути і поставити під удар справу #прекраснийлідер,1
two years later & gingerbread house making still makes me cry.,"пройшло два роки, а приготування пряникових будиночків досі змушує мене плакати.",0
@user @user |thats a twist|algorithms to cause more congestion & increase pollution|too bizarre to be true,"@користувач оце так поворот — алгоритми, що створюють затори та посилюють забруднення. Це не може бути правдою",1
@user is a service i offer.,"@користувач — це послуга, яку я пропоную.",0
i'm absolutely positive that coaches love it when parents tell them how to coach and run their program. #sticktoparenting,"Я просто на сто відсотків упевнений, що тренери обожнюють, коли батьки вчать їх, як тренувати та вести програму #займайтесякращебатьківством",1
@user trust me it will be out of form scandinavian reef again to. @user do love @user i see🙈 #fcbarcelona #mcfc,"@користувач, повір, це знову буде той самий недолугий скандинавський захист. @користувач я бачу ти його дуже любиш)🙈",1
